stt,sample_id,ngu_canh,phat_bieu,nhan_dinh,ghi_chu
1,viwikifc_train_11312,"Ở cấp độ khu vực, tiếng Pháp được thừa nhận là ngôn ngữ chính thức ở vùng Thung lũng Aosta của Ý, nơi nó là ngôn ngữ đầu tiên của khoảng 30% dân số, trong khi các phương ngữ tiếng Pháp vẫn được các dân tộc thiểu số trên Quần đảo Channel sử dụng. Nó cũng được nói ở Andorra và là ngôn ngữ chính sau tiếng Catalan ở El Pas de la Casa. Tiếng Pháp là ngôn ngữ thứ hai được dạy chủ đạo từ bậc mẫu giáo ở vùng Saarland của Đức và hơn 43% công dân có thể nói tiếng Pháp.","Tiếng Pháp còn được nói ở Andorra, ngoài ra còn là ngôn ngữ chính sau tiếng Catalan ở EI Pas de la Casa.",khong,
2,viwikifc_train_11488,"Nền văn minh trở nên phức tạp kéo theo làm phức tạp về tôn giáo, và dạng đầu tiên cũng bắt nguồn từ giai đoạn này. Các thực thể như mặt trời, mặt trăng, Trái Đất, bầu trời và biển thường được tôn sùng. Các đền thờ được xây dựng, phát triển, và dần hoàn thiện với hệ thống cấp bậc như linh mục,thầy tế và các chức danh khác. Điển hình của thời kỳ đồ đá này là có xu hướng thờ các vị thần mang hình dáng con người. Trong số những văn bản kinh tôn giáo lâu đời nhất còn tồn tại là các văn bản kim tự tháp Ai Cập (khoảng giữa 2400 đến 2300 TCN). Một số nhà khảo cổ học cho rằng, dựa trên dấu tích khai quật được ở ngôi đền Göbekli Tepe (Potbelly Hill) ở miền nam Thổ Nhĩ Kỳ, có niên đại từ 11500 năm trước, tôn giáo hình thành trước khi xảy ra cuộc cách mạng nông nghiệp chứ không phải sau như suy nghĩ trước đó.",Văn bản tôn giáo ở Ai Cập được hình thành từ đại cách mạng công nghiệp.,ngoai_lai,
3,viwikifc_dev_1339,"Năm 1932: Nghị định số 156-SC ngày 15 tháng 6 năm 1932 của Toàn quyền Đông Dương Pierre Marie Antoine Pasquier về việc thiết lập quần đảo Hoàng Sa (Paracels) thành một đơn vị hành chánh, sáp nhập với tỉnh Thừa Thiên. Pháp lần lượt đặt một trạm khí tượng trên đảo Phú Lâm (tiếng Pháp: île Boisée) mang số hiệu 48859 và một trạm khí tượng trên đảo Hoàng Sa (tiếng Pháp: île de Pattle) mang số hiệu 48860.",Phú Lâm là nổi tiếng về đặc sản món ăn ba khía.,ngoai_lai,
4,viwikifc_train_12069,"Cộng hòa Dân chủ Nhân dân Triều Tiên chiếm phần phía bắc của Bán đảo Triều Tiên, trải dài 1.100 kilômét (685 dặm), nằm giữa vĩ độ 37 ° và 43 ° B, và kinh độ 124 ° và 131 ° Đ. Quốc gia có diện tích 120.540 km2 (46.541 dặm vuông). Triều Tiên có biên giới phía bắc với Trung Quốc và Nga dọc theo sông Áp Lục và sông Đồ Môn và giáp Hàn Quốc ở phía nam dọc theo khu phi quân sự Triều Tiên. Phía tây của Triều Tiên giáp biển Hoàng Hải và Vịnh Triều Tiên, còn về phía đông là Biển Nhật Bản (Biển Đông Triều Tiên).",Do giáp hai phía là biển và vịnh nên Triều Tiên rất phát triển ngành đánh bắt hải sản.,ngoai_lai,
5,viwikifc_test_1913,"Nam Á chỉ vùng đất phía nam của châu Á, gồm Ấn Độ, Afghanistan, Maldives, Bhutan, Sri Lanka, Pakistan, Bangladesh và Nepal. Diện tích khoảng 5,1 triệu kilômét vuông. Dân số 1,8 tỉ. Vùng đất phía bắc trong khu vực này là vùng núi của chân núi phía nam mạch núi Himalaya, bán đảo Ấn Độ ở phía nam là cao nguyên Deccan, giữa vùng núi phía bắc và cao nguyên Deccan là đồng bằng sông Ấn Độ - sông Hằng. Đồng bằng ở phía bắc và ở giữa về cơ bản thuộc về khí hậu rừng rậm bán nhiệt đới, cao nguyên Deccan và phía bắc Sri Lanka thuộc về khí hậu thảo nguyên nhiệt đới, đoạn tây nam của bán đảo Ấn Độ, phía nam Sri Lanka và toàn bộ Maldives thuộc về khí hậu rừng mưa nhiệt đới, đồng bằng sông Ấn Độ thuộc về khí hậu thảo nguyên hoặc sa mạc á nhiệt đới. Lấy sắt, mangan, than đá làm tài nguyên khoáng sản phong phú nhất. Nam Á là chỗ sản sinh bắt nguồn thực vật vun trồng như xoài, thầu dầu, cà tím, chuối rừng, cây mía và củ sen. Cây đay vàng (Corchorus capsularis L) và lá trà chiếm chừng 1/2 tổng sản lượng thế giới. Sản lượng của gạo, đậu phộng, mè, cải dầu, mía, bông sợi, cao su, lúa tẻ hột nhỏ, dừa sấy khô có vị trí trọng yếu trên thế giới.",Cao nguyên Deccan có khí hậu mát mẻ hơn do giáp biển.,ngoai_lai,
6,viwikifc_train_14445,"Nhật Bản là một nước theo hệ thống quân chủ lập hiến, quyền lực của Thiên hoàng (天皇, Tennō) vì vậy rất hạn chế. Theo hiến pháp, Thiên hoàng được quy định là một ""biểu tượng của Quốc gia và của sự hòa hợp dân tộc"" mang tính hình thức lễ nghi. Quyền điều hành đất nước chủ yếu được trao cho Thủ tướng và những nghị sĩ do dân bầu ra. Đương kim Thiên hoàng Đức Nhân đứng đầu Hoàng gia Nhật Bản; cháu trai ông, Du Nhân Thân vương, là người trong danh sách tiếp theo kế vị triều đại Ngai vàng Hoa cúc.",Thủ tướng chỉ có thể điều hành những công việc liên quan tới an sinh của người dân.,ngoai_lai,
7,viwikifc_train_15477,"Năm 2019, GRDP toàn tỉnh tăng trưởng 9,03% so với năm 2018, GRDP thực tế đạt 88.258 tỉ đồng, cơ cấu kinh tế chuyển dịch đúng hướng. Thu ngân sách ước đạt 15.500 tỷ đồng, đạt 114,8% dự toán và tăng 10,2% so với thực hiện năm 2018. Chi ngân sách năm 2019 ước đạt 24.945,44 tỷ đồng, đạt 102,5% dự toán.","Theo dự toán, ngân sách thu được khoảng 13501 tỉ đồng.",khong,
8,viwikifc_dev_1674,"Việt Nam có tỷ lệ tội phạm ở mức thấp hơn một số quốc gia phát triển. Năm Cam, Khánh Trắng là một số ví dụ về băng nhóm tội phạm có tổ chức.",Một số nước phát triển trên thế giới có tỷ lệ tội phạm cao hơn Việt Nam.,khong,
9,viwikifc_train_10726,"Hầu như 67% diện tích Trung Quốc là cao nguyên và núi cao; ở phía tây, cao nguyên Thanh Hải - Tây Tạng chiếm hơn 25% diện tích đất nước. Tuy độ cao trung bình của cao nguyên này là 4000m, thế nhưng từ bề mặt có các hồ nằm rải rác đó đây các dãy núi vươn cao tới hơn 6000m. Trong số 12 đỉnh núi cao nhất thế giới, Trung Quốc có đến tám đỉnh. Dọc theo ven rìa phía bắc của cao nguyên Thanh Hải - Tây Tạng là dãy núi Côn Luân. Ven ría phía nam là dãy Himalaya (Hi Mã Lạp Sơn), tạo thành biên giới giữa Trung Quốc và Nepal. Các đỉnh núi cao có tuyết phủ quanh năm. Băng giá và nhiều loại băng tích đã khắc họa nên quang cảnh núi cao kì thú.","Những khối băng này tạo ra một quang cảnh tuyệt đẹp, với màu xanh sâu và kiểu dáng hùng vĩ.",ngoai_lai,
10,viwikifc_train_762,"Sau thời nhà Ngô đến thời nhà Đinh, Việt Nam chính thức có quốc hiệu sau ngàn năm Bắc thuộc là Đại Cồ Việt. Sang thời Lý, quốc hiệu được đổi là Đại Việt. Trong hơn 400 năm qua các triều đại Tiền Lê, Lý và Trần, Đại Việt đều đánh thắng các cuộc xâm lăng của các triều đại Trung Quốc.","Sau Đại Cồ Việt, quốc hiệu bị thay đổi nhiều lần và cuối cùng là Việt Nam ngày nay.",ngoai_lai,
11,viwikifc_dev_895,"Nam Á chỉ vùng đất phía nam của châu Á, gồm Ấn Độ, Afghanistan, Maldives, Bhutan, Sri Lanka, Pakistan, Bangladesh và Nepal. Diện tích khoảng 5,1 triệu kilômét vuông. Dân số 1,8 tỉ. Vùng đất phía bắc trong khu vực này là vùng núi của chân núi phía nam mạch núi Himalaya, bán đảo Ấn Độ ở phía nam là cao nguyên Deccan, giữa vùng núi phía bắc và cao nguyên Deccan là đồng bằng sông Ấn Độ - sông Hằng. Đồng bằng ở phía bắc và ở giữa về cơ bản thuộc về khí hậu rừng rậm bán nhiệt đới, cao nguyên Deccan và phía bắc Sri Lanka thuộc về khí hậu thảo nguyên nhiệt đới, đoạn tây nam của bán đảo Ấn Độ, phía nam Sri Lanka và toàn bộ Maldives thuộc về khí hậu rừng mưa nhiệt đới, đồng bằng sông Ấn Độ thuộc về khí hậu thảo nguyên hoặc sa mạc á nhiệt đới. Lấy sắt, mangan, than đá làm tài nguyên khoáng sản phong phú nhất. Nam Á là chỗ sản sinh bắt nguồn thực vật vun trồng như xoài, thầu dầu, cà tím, chuối rừng, cây mía và củ sen. Cây đay vàng (Corchorus capsularis L) và lá trà chiếm chừng 1/2 tổng sản lượng thế giới. Sản lượng của gạo, đậu phộng, mè, cải dầu, mía, bông sợi, cao su, lúa tẻ hột nhỏ, dừa sấy khô có vị trí trọng yếu trên thế giới.",Bông sợi ở Nam Á được tiêu dùng rộng rãi trên toàn thế giới.,ngoai_lai,
12,viwikifc_train_14110,"Ngành công nghiệp điện ảnh Ấn Độ tạo ra nghệ thuật điện ảnh đông người xem nhất thế giới. Các truyền thống điện ảnh địa phương tồn tại trong các ngôn ngữ gồm Assam, Bengal, Hindi, Kannada, Malayalam, Punjab, Gujarat, Marath, Oriya, Tamil, và Telugu. Điện ảnh nam bộ Ấn Độ chiếm tới 75% doanh thu phim toàn quốc. Truyền hình tại Ấn Độ khởi đầu từ năm 1959 như một phương tiện truyền thông quốc doanh, và được mở rộng chậm chạp trong hai thập niên sau. Sự độc quyền của nhà nước đối với truyền hình kết thúc vào thập niên 1990, và kể từ đó các kênh truyền hình vệ tinh ngày càng góp phần hình thành văn hóa đại chúng của xã hội Ấn Độ. Ngày nay, truyền hình là phương tiện truyền thông đi sâu vào xã hội Ấn Độ nhất; các ước tính cho thấy vào năm 2012 có trên 554 triệu khán giả truyền hình, 462 triệu có kết nối vệ tinh hoặc/và kết nối cáp, lớn hơn các loại hình truyền thông đại chúng khác như báo chí (350 triệu), phát thanh (156 triệu) hay internet (37 triệu).",Dạng phương tiện truyền thông mà tại đó Xã hội Ấn Độ được khai thác một cách sâu sắc nhất đó là truyền hình,noi_tai,
