sample_id,label,pred,cap_nham,nhan_loi,co_prompt_noisy,co_mot_doan,co_chep_lai_ma_sai,co_dien_dat_lai,co_phan_hoi_ngan,co_tu_tin_sai,co_phan_van,co_khac,confidence,margin,p_no,p_intrinsic,p_extrinsic,n_chunks,context_words,response_words,lexical_overlap,prompt_type,question,response,context,ghi_chu_tay
vihallu_train_1211,extrinsic,intrinsic,extrinsic→intrinsic,tu_tin_sai,False,False,False,False,False,True,False,False,0.8846401293883308,0.7764673586362514,0.007187099859589764,0.8846401293883308,0.10817277075207946,5,230,37,0.7027027027027027,unknown,Điều mà quốc tế muốn Nam Ossetia làm là gì?,"Quốc tế muốn Nam Ossetia tổ chức thêm nhiều cuộc trưng cầu dân ý để củng cố quyết định độc lập của mình, vì điều này sẽ giúp giải quyết xung đột nhanh chóng và hiệu quả.","Ngày 11 tháng 9 năm 2006, Ủy ban Thông tin và Báo chí Nam Ossetia thông báo rằng nước cộng hòa này sẽ tổ chức một cuộc trưng cầu dân ý về độc lập (cuộc trưng cầu dân ý đầu tiên vào năm 1992 đã không được cộng đồng quốc tế coi là hợp pháp) vào ngày 12 tháng 11 năm 2006. Các cử tri sẽ quyết định việc Nam Ossetia ""sẽ duy trì tình trạng hiện tại hay trở thành một nhà nước độc lập"". Gruzia lên án hành động này như một ""điều ngớ ngẩn chính trị"". Tuy nhiên, ngày 13 tháng 9 năm 2006, Tổng thư ký Hội đồng châu Âu (CoE) Terry Davis đã bình luận về vấn đề, nói rằng có lẽ không ai sẽ chấp nhận các kết của cuộc trưng cầu dân ý này và hối thúc chính phủ Nam Ossetia tham gia các cuộc đàm phán với Gruzia. Ngày 13 tháng 9 năm 2006 Đại diện Đặc biệt của Liên minh châu Âu tại Nam Caucasus, Peter Semneby, khi viếng thăm Moskva, đã nói: ""Các kết quả của cuộc trưng cầu dân ý về độc lập tại Nam Ossetia sẽ không có ý nghĩa với Cộng đồng châu Âu"". Peter Semneby cũng thêm rằng cuộc trưng cầu dân ý này sẽ không góp phần giải quyết cuộc xung đột ở Nam Ossetia.",
vihallu_train_1358,extrinsic,intrinsic,extrinsic→intrinsic,khac,False,False,False,False,False,False,False,True,0.6868136629534147,0.37813739392897866,0.004510068022149224,0.6868136629534147,0.30867626902443607,6,169,26,0.5769230769230769,unknown,Cacs đia điem ma kh du khach du ngoan bang do di ngang la gi?,"Du khách thưởng ngoạn bằng đò đi qua cầu Hội, núi Ngọc Hoàng, sông Thạch Bàn, và núi Phượng Hoàng, trước khi đến chùa Thiên Trù.","Ở xã Hương Sơn, huyện Mỹ Đức, lễ hội chùa Hương tấp nập du khách từ giữa tháng 1 tới tận tháng 3 âm lịch, nhưng đông nhất vào khoảng từ ngày rằm tháng giêng đến 18 tháng 2. Với cảnh núi non, sông nước cùng quần thể di tích chùa Hương, lễ hội là điểm đến của các tăng ni, phật tử, những người hành hương và khách du lịch. Theo hành trình phổ biến, khách trẩy hội thường bắt đầu từ bến Đục, ngồi đò theo dòng suối Yến ghé lễ đền Trình. Từ đó, du khách tiếp tục đi qua cầu Hội, hang Sơn thủy hữu tình, núi Đồi Chèo, núi Con Voi, núi Mâm Xôi, núi Con Gà... rồi cập bến vào chùa Thiên Trù. Từ đây, du khách bắt đầu hành trình đi bộ thăm chùa Tiên, chùa Giải Oan, đền Cửa Võng và đến đệ nhất động Hương Tích. Đây là một trong những lễ hội lớn và kéo dài nhất Việt Nam.",
vihallu_train_1738,extrinsic,intrinsic,extrinsic→intrinsic,khac,False,False,False,False,False,False,False,True,0.5610329463256819,0.18852279290897916,0.06645690025761543,0.5610329463256819,0.37251015341670274,8,205,50,0.54,unknown,"Yếu tố nào quyết định trực tiếp đến quá trình sinh tổng hợp cholesterol, và có phải lượng cholesterol trong thức ăn không ảnh hưởng gì đến lượng cholesterol nội sinh không?","Mức cholesterol hiện tại quyết định trực tiếp quá trình sinh tổng hợp cholesterol. Ngoài ra, lượng cholesterol trong thức ăn thực chất có ảnh hưởng, vì sự tiêu thụ chất béo bão hòa từ thực phẩm làm tăng cholesterol nội sinh, điều này không được đề cập trong context.","Sinh tổng hợp cholesterol được điều hoà trực tiếp bởi mức cholesterol hiện tại, nhưng cơ chế hằng định nội môi có liên quan chưa được hiểu rõ ràng. Lượng nhập trong thức ăn tăng sẽ làm giảm lượng nội sinh và ngược lại. Cơ chế điều hoà chính là phát hiện cholesterol nội bào ở hệ võng nội môi bởi protein SREBP (Sterol Regulatory Element Binding Protein 1 và 2). Khi có mặt cholesterol, SREBP gắn với 2 protein khác: SCAP (SREBP-cleavage activating protein) và Insig-1. Khi nồng độ cholesterol giảm, Insig-1 tách khỏi phức hợp SREBP-SCAP, cho phép phức hợp di chuyển vào bộ máy Golgi, ở đó SREBP bị cắt bởi S1P và S2P (site 1/2 protease), hai men này được hoạt hoá bởi SCAP khi nồng độ cholesterol thấp. SREBP đã bị cắt sau đó di chuyển đến hạt nhân và đóng vai trò yếu tố phiên mã (transcription factor) gắn với ""Yếu tố Điều hoà Sterol"" (Sterol Regulatory Element) của một số gene để kích thích phiên mã. Trong số các gene phiên mã có thụ thể LDL và HMG-CoA reductase. Thụ thể LDL thu bắt LDL trong tuần hoàn, còn HMG-CoA reductase làm tăng sản xuất cholesterol nội sinh.",
vihallu_train_2133,extrinsic,intrinsic,extrinsic→intrinsic,phan_van,False,False,False,False,False,False,True,False,0.3979207765672217,0.026065266294146405,0.2302237131597031,0.3979207765672217,0.3718555102730753,4,117,47,0.5531914893617021,unknown,"Với sự viện trợ của Mỹ, mà theo một số báo cáo chỉ giới hạn ở việc cung cấp thực phẩm và quần áo, Pháp có tiếp tục được cuộc chiến không?","Việc Mỹ cung cấp thực phẩm và quần áo chỉ là một phần nhỏ trong hỗ trợ toàn diện, bao gồm cả viện trợ vũ khí và phương tiện chiến tranh như máy bay và xe tăng, điều không thể thiếu để Pháp tiếp tục cuộc chiến.","Đến cuối chiến tranh, gần 80% chiến phí chủ yếu của Pháp do Mỹ cung cấp, lên đến 1,5 tỷ USD. Cuối chiến tranh, người Mỹ trực tiếp chở khoảng 16 ngàn quân Pháp vào Điện Biên Phủ và hỗ trợ không quân cho quân Pháp. Tính đến tháng 1-1954, riêng về vũ khí và phương tiện chiến tranh, Mỹ đã viện trợ cho quân Pháp ở Đông Dương 360 máy bay, 1.400 xe tăng và xe bọc thép, 390 tàu chiến và tàu quân sự, 16.000 xe quân sự các loại, 175.000 súng trường và súng máy. Nhờ số lượng vũ khí viện trợ này mà người Pháp mới có thể duy trì được cuộc chiến.",
vihallu_train_2602,extrinsic,intrinsic,extrinsic→intrinsic,tu_tin_sai,False,False,False,False,False,True,False,False,0.8468774017859527,0.6992584866532867,0.005503683081381281,0.8468774017859527,0.14761891513266606,6,151,40,0.65,unknown,"Ngoài tiếng Ả Rập Hejaz và Ả Rập Najd, ở Ả Rập Xê Út có phải tiếng Ả Rập Vùng Vịnh là ngôn ngữ chính thức thay vì chỉ là một phương ngữ không?","Mặc dù tiếng Ả Rập Vùng Vịnh là một ngôn ngữ chính thức tại Ả Rập Xê Út, nó thực sự được nói bởi phần lớn dân số, vượt xa cả tiếng Ả Rập Najd và Hejaz kết hợp lại.","Ngôn ngữ chính thức của Ả Rập Xê Út là tiếng Ả Rập. Ba phương ngữ chủ yếu của người Ả Rập Xê Út là tiếng Ả Rập Hejaz (khoảng 6 triệu người nói), tiếng Ả Rập Najd (khoảng 8 triệu người nói), và tiếng Ả Rập Vùng Vịnh (khoảng 0,2 triệu người nói). Ngôn ngữ ký hiệu Ả Rập Xê Út là ngôn ngữ chủ yếu của cộng đồng khiếm thính. Các cộng đồng ngoại kiều lớn cũng nói ngôn ngữ của họ, đông đảo nhất là tiếng Tagalog, tiếng Rohingya, tiếng Urdu, tiếng Ả Rập Ai Cập. Có nhiều người nói tiếng Anh tại Ả Rập Xê Út vì Công ty Dầu mỏ Ả Rập-Mỹ (SAMCO) chi phối kinh tế Ả Rập Xê Út. Mặc dù tiếng Ả Rập là ngôn ngữ chính thức duy nhất, song nhiều khi tiếng Anh được ghi song song với tiếng Ả Rập.",
vihallu_train_3327,extrinsic,intrinsic,extrinsic→intrinsic,tu_tin_sai,False,False,False,False,False,True,False,False,0.7001301891846824,0.47269005642819345,0.07242967805882883,0.7001301891846824,0.22744013275648894,6,149,45,0.6666666666666666,unknown,Kết cục của Giả Xương và các thái thú khi phối hợp đàn áp các cuộc nổi dậy ở Tượng Lâm là gì?,"Giả Xương và các thái thú không chỉ thất bại mà còn bị quân địa phương bắt giữ và giam cầm trong hơn một năm. Sau đó, họ được thả ra nhờ một thỏa thuận đổi tù binh giữa nhà Hán và phe nổi dậy.","Năm 138, Giả Xương, quan thị ngự sử nhà Hán đi sứ phía nam, đã cùng với các quan thái thú trong quận Nhật Nam gom quân dẹp những cuộc nổi loạn ở huyện Tượng Lâm. Sau gần một năm, tất cả đều thất bại, và họ còn bị quân địa phương bao vây hơn cả năm trời. Từ đó nhà Hán mất tin tưởng ở đám quan quân địa phương và chỉ tin dùng quan quân từ Trung Hoa đưa xuống. Năm sau Hán Thuận Đế sai tướng Cổ Xương huy động 40.000 quân ở các châu Kinh, châu Dương, châu Duyên, châu Dự xuống đàn áp cuộc nổi dậy. Cổ Xương bị quân nổi loạn đánh bại, nhà Hán sai một tướng khác là Lý Cố mang viện binh tiếp trợ nhưng Lý Cố viện các lý do để hoãn binh. Cuộc tiến quân bị dừng lại.",
vihallu_train_3357,extrinsic,intrinsic,extrinsic→intrinsic,khac,False,False,False,False,False,False,False,True,0.6034017147204673,0.3775053211929693,0.1707018917520346,0.6034017147204673,0.22589639352749802,4,179,45,0.7555555555555555,unknown,"Sự cắt giảm công việc trong thời gian Mỹ tăng trưởng công nghiệp có phải chủ yếu do các công đoàn Mỹ gây ra, mặc dù thực tế là nước Mỹ không hề có vấn đề về năng suất lao động và các ngành công nghiệp sử dụng lao động kỹ năng thấp vẫn đang phát triển mạnh mẽ không?","Một yếu tố không có trong context là sự phát triển của công nghệ tự động hóa và trí tuệ nhân tạo, đã thay thế một phần công việc của con người trong ngành sản xuất, dẫn đến giảm nhu cầu tuyển dụng lao động.","Nước Mỹ sản xuất ra khoảng 18% tổng sản lượng công nghiệp của thế giới, phần suy giảm do các quốc gia khác đã phát triển những cơ sở sản xuất cạnh tranh. Số lượng việc làm bị cắt giảm trong suốt thời kỳ gia tăng sản lượng này là kết quả cuả một loạt nhân tố bao gồm tăng năng suất lao động, thuương mại và xu thế thay đổi về kinh tế dài hạn. Thêm vào đó, tăng trưởng trong lĩnh vực viễn thông, dược phẩm, chế tạo máy bay, máy công nghiệp nặng và ngành công nghiệp khác cùng với việc giảm các ngành công nghiệp sử dụng lao động kỹ năng thấp như quần áo, đồ chơi và sản xuất giản đơn đã dẫn đến những nhu cầu về tay nghề cao và trả lương cao. Những tranh cãi vẫn tiếp tục về sự suy giảm việc làm ở lĩnh vực sản xuất có liên quan tới các công đoàn Mỹ, mức tiền công thấp hơn cho nhân công tại nước ngoài, hoặc cả hai.",
vihallu_train_3393,extrinsic,intrinsic,extrinsic→intrinsic,prompt_noisy,True,False,False,False,False,False,False,False,0.4969944840711035,0.10966621633201457,0.11567724818980742,0.4969944840711035,0.38732826773908896,9,182,41,0.5609756097560976,noisy,Ai la nguoi dung ra de thoa thuuaan ngung bawn vs Viiet Minh??,"Đỗ Đình Đạo, người đã học tại Học viện Quân sự Hoàng gia Anh trước khi gia nhập Việt Quốc, là người đứng ra đàm phán thỏa thuận ngừng bắn với Việt Minh để bảo vệ các lực lượng của mình.","Tháng 6/1946, khi quân đội Trung Quốc rút về Vân Nam, dân quân của Việt Minh cô lập các thị xã do Việt Quốc kiểm soát. Ngày 18/6/1946, Vệ quốc quân tấn công Phú Thọ và Việt Trì. Quốc dân quân của Việt Quốc ở Phú Thọ hết đạn sau 4 ngày và phải rút lui. Vũ Hồng Khanh chỉ huy 350 lính phòng thủ Việt Trì trong 9 ngày rồi rút lui về Yên Bái. Việt Quốc ở Vĩnh Yên do Đỗ Đình Đạo chỉ huy đàm phán với Việt Minh và đạt được thỏa thuận ngừng bắn trong 2 tháng. Đỗ Đình Đạo đồng ý sáp nhập lực lượng của ông vào Vệ quốc quân và thành lập Ủy ban Hành chính liên hiệp tại Vĩnh Yên. Lực lượng này được chia nhỏ đưa về các tiểu đoàn Vệ quốc quân tại nhiều nơi. Đỗ Đình Đạo được thuyên chuyển về Hà Nội. Trong suốt tháng 5 và tháng 6/1946, Báo Việt Nam của Việt Quốc tại Hà Nội khẩn thiết kêu gọi Việt Minh ngừng tấn công Việt Quốc.",
vihallu_train_3663,extrinsic,intrinsic,extrinsic→intrinsic,phan_van,False,False,False,False,False,False,True,False,0.47677954082204366,0.031795327256951056,0.07823624561286359,0.47677954082204366,0.4449842135650926,3,113,39,0.6666666666666666,unknown,"Thành phố có dân số lớn nhất tại tỉnh Quảng Đông của Trung Quốc là Thâm Quyến, đúng hay sai?","Sai. Thâm Quyến là một trong những thành phố phát triển nhanh nhất và là trung tâm công nghệ lớn của Trung Quốc, nhưng Quảng Châu mới là thành phố có dân số lớn nhất tại tỉnh Quảng Đông.","Quảng Châu (chữ Hán giản thể: 广州, phồn thể: 廣州, pinyin: Guǎngzhōu, Wade-Giles: Kuang-chou, việt phanh: Gwong2zau1, Yale: Gwóngjaū) là thủ phủ và là thành phố đông dân nhất của tỉnh Quảng Đông ở miền Nam Trung Quốc. Nằm trên sông Châu Giang, thành phố cách Hồng Kông 120 km (75 dặm) về phía Tây Bắc và cách Ma Cao 145 km (90 dặm) về phía Bắc. Quảng Châu có lịch sử hơn 2.200 năm và là một điểm cuối chính của con đường tơ lụa hàng hải và tiếp tục là cảng và trung tâm vận tải chính ngày nay, đây là một trong ba thành phố lớn nhất của Trung Quốc.",
vihallu_train_3667,extrinsic,intrinsic,extrinsic→intrinsic,khac,False,False,False,False,False,False,False,True,0.5724735696961097,0.1655531226888341,0.020605983296614602,0.5724735696961097,0.40692044700727564,4,157,51,0.6078431372549019,unknown,"Hai nước nào có hiệp ước quân sự lâu năm nhất thế giới, và điều đó có phải là giữa Bồ Đào Nha và Tây Ban Nha theo hiệp ước Windsor ký vào năm 1373 không?","Bồ Đào Nha và Anh có hiệp ước quân sự lâu đời nhất thế giới, ký kết vào năm 1373. Điều thú vị là hiệp ước này đã giúp hai quốc gia duy trì quan hệ đồng minh qua nhiều cuộc chiến tranh lớn, bao gồm cả Thế chiến thứ hai.","Bồ Đào Nha còn là một thành viên đầy đủ của Liên minh Latinh (1983) và Tổ chức các quốc gia Iberia-châu Mỹ (1949). Quốc gia này có một quan hệ liên minh hữu nghị và hiệp định quốc tịch kép với cựu thuộc địa của nước này là Brasil. Bồ Đào Nha và Anh có hiệp ước quân sự có hiệu lực lâu năm nhất thế giới, theo hiệp ước Windsor ký vào năm 1373. Bồ Đào Nha có hai tranh chấp lãnh thổ với Tây Ban Nha: Olivenza được nhượng cho Tây Ban Nha vào năm 1801, song Bồ Đào Nha tái yêu sách vào năm 1815. Tuy nhiên khu vực nằm dưới quyền kiểm soát liên tục của Tây Ban Nha từ thế kỷ XIX. Quần đảo Selvagens thuộc quyền cai trị của Bồ Đào Nha, và vấn đề chính là vùng đặc quyền kinh tế của Bồ Đào Nha quanh quần đảo này.",
